# Datetime, equity ($), cash flow ($)
2023-11-02 16:20:50.709298,1093.74,0
2023-11-02 16:25:40.021271,1093.4,0
2023-11-02 16:30:33.093752,1087.7,0
2023-11-02 16:35:19.917747,1088.77,0
2023-11-02 16:40:22.474783,1088.24,0
2023-11-02 16:45:14.547873,1089.4,0
2023-11-02 16:50:38.994311,1092.8,0
2023-11-02 16:56:04.556801,1090.35,0
2023-11-02 17:00:27.844550,1095.59,0
2023-11-02 17:05:24.458980,1093.68,0
2023-11-02 17:10:15.336800,1097.1,0
2023-11-02 17:15:11.665884,1097,0
2023-11-02 17:20:40.596726,1093.93,0
2023-11-02 17:25:44.711843,1095.04,0
2023-11-02 17:30:23.870057,1092.67,0
2023-11-02 17:35:40.405191,1091.31,0
2023-11-02 17:40:31.128311,1095.13,0
2023-11-02 17:45:26.274443,1095.66,0
2023-11-02 17:51:13.072077,1095.29,0
2023-11-02 17:55:31.238867,1095.33,0
2023-11-02 18:00:19.349539,1092.1,0
2023-11-02 18:05:23.071893,1091.87,0
2023-11-02 18:10:27.682454,1094.28,0
2023-11-02 18:15:19.754437,1093.88,0
2023-11-02 18:21:05.887808,1092.77,0
2023-11-02 18:25:11.866598,1089.65,0
2023-11-02 18:30:18.563355,1093.02,0
2023-11-02 18:35:27.086271,1093.57,0
2023-11-02 18:41:19.417294,1092.52,0
2023-11-02 18:45:15.801524,1094.69,0
2023-11-02 18:50:12.261024,1093.88,0
2023-11-02 18:55:35.398892,1095.64,0
2023-11-02 19:01:06.860659,1096.6,0
2023-11-02 19:05:45.896969,1094.08,0
2023-11-02 19:10:22.810414,1093.93,0
2023-11-02 19:15:24.937639,1095.19,0
2023-11-02 19:20:21.815400,1096.09,0
2023-11-02 19:25:45.939019,1096.5,0
2023-11-02 19:31:02.349463,1099.27,0
2023-11-02 19:35:19.041970,1099.56,0
2023-11-02 19:40:16.371410,1100.28,0
2023-11-02 19:45:24.034257,1100.58,0
2023-11-02 19:50:48.782399,1099.44,0
2023-11-02 19:55:15.314386,1101.13,0
2023-11-02 20:00:23.406811,1103.85,0
2023-11-02 20:05:30.611010,1101.15,0
2023-11-02 20:10:28.305223,1101.43,0
2023-11-02 20:15:52.183269,1099.92,0
2023-11-02 20:20:40.233775,1098.97,0
2023-11-02 20:25:15.770710,1099.37,0
2023-11-02 20:30:13.312512,1096.64,0
2023-11-02 20:35:15.008261,1097.05,0
2023-11-02 20:40:06.517345,1099.95,0
2023-11-02 20:45:12.479812,1096.15,0
2023-11-02 20:50:18.546455,1097.2,0
2023-11-02 20:55:09.163337,1099.85,0
2023-11-02 21:03:58.350722,1100.88,0
2023-11-02 21:13:47.447184,1097.96,0
2023-11-02 21:23:51.438682,1095.43,0
2023-11-02 21:33:55.887499,1098.97,0
2023-11-02 21:43:57.151320,1094.69,0
2023-11-02 21:54:02.221633,1094.69,0
2023-11-03 15:25:27.350699,1122.23,0
2023-11-03 15:30:20.131880,1121.86,0
2023-11-03 15:35:23.128157,1115.96,0
2023-11-03 15:40:22.509780,1118.81,0
2023-11-03 15:45:19.987664,1117.45,0
2023-11-03 15:50:17.100374,1122.79,0
2023-11-03 15:55:08.372838,1115.23,0
2023-11-03 16:00:59.553101,1116.44,0
2023-11-03 16:05:11.261164,1112.14,0
2023-11-03 16:10:42.102559,1109.49,0
2023-11-03 16:15:18.791331,1109.04,0
2023-11-03 16:20:16.779770,1109.9,0
2023-11-03 16:25:24.932654,1111.41,0
2023-11-03 16:30:22.520121,1110.3,0
2023-11-03 16:41:16.259694,1108.75,0
2023-11-03 16:46:07.995793,1105.37,0
2023-11-03 16:50:25.260121,1103.78,0
2023-11-03 16:56:06.924219,1100.24,0
2023-11-03 17:01:03.836127,1098.41,0
2023-11-03 17:05:15.787101,1097.46,0
2023-11-03 17:10:29.944319,1101.7,0
2023-11-03 17:16:12.707819,1105.61,0
2023-11-03 17:20:24.214272,1104.93,0
